MONTH,DAY,STID,TMAX,TMIN,TAVG,DMAX,DMIN,DAVG,HMAX,HMIN,HAVG,VDEF,9AVG,HDEG,CDEG,HTMX,WCMN,PDIR,PDFQ,SDIR,SDFQ,WSMX,WSMN,WSPD,WDEV,WMAX,2MAX,2MIN,2AVG,2DEV,PMAX,PMIN,PAVG,MSLP,AMAX,ATOT,RAIN,RNUM,RMAX
3,13,NRMN,70.12,50.04,62.16,60.81,32.91,46.84,97.89,32.31,62.54,7.88,62.47,4.92,0,-996,-996,9,44.1,6,17.36,34.18,3.2,21.12,6.47,52.84,29.01,2.01,17.38,5.37,28.41,28.08,28.2,29.43,860.25,19.74,1.05,46,1.44
3,14,NRMN,54.43,42.27,47.57,33.07,22.23,29.56,64.28,39.26,49.91,5.76,47.58,16.65,0,-996,33.46,14,31.25,12,26.74,25.93,9.43,17.29,4.21,36.91,20.4,6.45,13.26,3.55,29.04,28.31,28.7,29.95,972.61,18.14,0,0,0
3,15,NRMN,54.19,33.49,43.66,25.85,17.48,21.69,71.8,24.53,43.41,5.95,44.15,21.16,0,-996,26.87,15,47.99,0,31.5,21.5,0,12.27,5.53,31.21,17.98,0,9.63,5.08,29.21,29.03,29.13,30.4,885.43,23.12,0,0,0
3,16,NRMN,61.27,27.14,45.79,29.84,19.32,24.13,92.14,21.66,48.32,6.94,48.09,20.8,0,-996,27.02,-996,-999,-996,-999,7.87,0,2.59,1.89,12.2,6.93,0,1.86,1.79,29.22,29.06,29.14,30.4,883.65,23.16,0,0,0
3,17,NRMN,67.51,32.2,52.02,34.18,24.52,28.62,86.66,22.11,44.71,8.91,54.04,15.14,0,-996,30.72,-996,-999,-996,-999,9.99,0.12,4.68,2.48,20.54,8.78,0,3.25,2.76,29.1,28.97,29.04,30.3,880.62,22.97,0,0,0
3,18,NRMN,69.15,36.21,54.77,34.26,26.8,29.58,77.93,21.76,41.52,10.02,56.92,12.32,0,-996,34.83,-996,-999,-996,-999,9.23,0,3.65,1.96,14.18,7.8,0,2.57,1.98,29.09,28.95,29.01,30.27,867.09,22.55,0,0,0
3,19,NRMN,70.56,43.93,57.65,42.59,28.76,33.77,67.49,23.42,43.27,10.37,58.07,7.76,0,-996,40.84,8,36.93,9,26.83,19.6,2.21,9.26,4.52,29.01,16.58,0,7.45,4.11,28.99,28.85,28.93,30.18,999.37,21.58,0,0,0
3,20,NRMN,62.65,42.97,51.75,44.02,26.57,36.44,93.91,27.61,59.85,5.96,52.52,12.19,0,-996,40.61,14,29.1,0,21.64,17.71,0,8.83,4.46,26.82,14.35,0,6.63,4.33,29.06,28.91,28.97,30.23,900.21,21.13,0.02,2,0.12
3,21,NRMN,67.51,37.47,53.03,39.1,28.11,33.99,76.37,28.79,50.49,7.83,54.84,12.51,0,-996,34.04,-996,-999,-996,-999,11.88,0.43,5.83,2.73,17.9,10.55,0,3.73,3.44,29,28.89,28.93,30.19,899.67,22.6,0,0,0
3,22,NRMN,72.73,37.88,57.47,39.16,31.81,35.49,87.54,26.05,47.77,10.36,59.18,9.69,0,-996,36.65,-996,-999,-996,-999,15.99,0,7.03,4.1,22.28,13.09,0,5.47,3.91,28.95,28.74,28.86,30.11,982.43,19.85,0,0,0
3,23,NRMN,74.03,50.47,60.94,58.53,38.03,51.72,94.9,40.94,73.58,5.43,61.02,2.75,0,-996,-996,7,25.96,6,15.44,17.26,1.41,10.1,3.22,27.04,15.13,0,8.17,3.01,28.81,28.62,28.72,29.97,993.9,15.21,0.32,21,0.48
3,24,NRMN,67.17,49.48,60.38,59.31,44.42,52.53,92.04,51.31,76.51,4.39,60.91,6.67,0,-996,47.71,15,43.06,8,18.4,12,2.51,7.31,2.04,16.52,9.95,0,5.72,2.31,28.86,28.69,28.76,30.01,905.79,14.12,0,0,0
3,25,NRMN,60.48,42.95,51.6,46.78,39.56,44.03,91.81,56.42,76.12,3.36,52.07,13.29,0,-996,40.85,0,41.11,1,31.36,14.39,2.02,8.96,2.99,20.83,12.27,0,6.95,3.13,29.08,28.85,28.98,30.24,876.96,12.51,0,0,0
3,26,NRMN,68.61,38.27,54.24,45.94,37.13,40.58,99.22,32.77,64.75,6.58,55.55,11.56,0,-996,36.97,-996,-999,-996,-999,8.85,0,4.21,1.94,13.81,6.83,0,2.9,2.01,29.14,28.99,29.06,30.32,884.58,23.34,0,0,0
3,27,NRMN,73.92,49.62,61.12,47.6,40.45,44.45,78.3,35.21,56.09,9.08,61.21,3.23,0,-996,46.3,7,60.28,8,35.54,19.69,4.51,11.29,3.97,30.24,16.79,2.91,9.43,3.56,29,28.79,28.91,30.16,1078.37,19.56,0,0,0
3,28,NRMN,74.8,56.86,65.26,58.53,47.05,53.6,76.84,56.9,66.23,7.49,65.21,0,0.83,-996,-996,8,60.76,7,24.65,23.29,6.36,13.24,3.78,32.73,19.3,4.88,11.1,3.24,28.83,28.65,28.74,29.99,897.22,16.33,0,0,0
3,29,NRMN,70.07,48.92,63.06,58.99,46.53,56.01,95.01,67.91,78.12,4.54,63.15,5.51,0,-996,43.08,7,53.82,8,27.78,20.22,6.52,11.6,2.69,27.18,15.68,4.84,9.67,2.23,28.69,28.52,28.61,29.86,368.81,6.57,0.02,1,0.24
3,30,NRMN,48.74,36.69,42.77,46.34,25.09,33.89,96.61,54.09,71.9,2.67,42.93,22.28,0,-996,27.14,0,69.1,15,27.78,27.85,9.68,18.55,4.71,40.91,22.46,7.14,14.91,3.94,29.13,28.57,28.92,30.17,820.04,8.31,0.55,17,1.44
3,31,NRMN,51.28,30.35,40.94,26.16,18.32,22.74,77.06,27.83,50.8,4.8,41.14,24.19,0,-996,21.54,0,38.33,1,27.18,13.36,1.76,7.75,2.48,20.67,11.55,0,6.2,2.38,29.21,29.04,29.12,30.38,940.32,25.2,0,0,0
4,1,NRMN,57.76,36.19,46.71,31.23,21.94,26.13,77.95,27.96,46.66,6.37,47.41,18.03,0,-996,36.91,-996,-999,-996,-999,10.38,0,3.91,2.36,15.56,8.92,0,2.64,2.44,29.05,28.85,28.96,30.22,931.68,21.18,0,0,0
4,2,NRMN,70.88,38.84,56.13,39.63,28.69,35.64,79.7,27.76,48.76,9.39,56.19,10.14,0,-996,34.59,7,39.24,8,31.6,15.48,4.39,9.72,2.7,22.73,13.19,2.83,8.01,2.45,28.89,28.76,28.84,30.09,926.17,24.74,0,0,0
